URL Links,Department Initials,Title,Catalog Page
https://www.utdallas.edu/fact-sheets/epps/ba-bs-international-political-economy/,epps,Bachelor of Arts / Bachelor of Science in International Political Economy,https://catalog.utdallas.edu/now/undergraduate/programs/epps/international-political-economy
https://www.utdallas.edu/fact-sheets/epps/bs-geospatial-information-sciences/,epps,Bachelor of Science in Geospatial Information Sciences,https://catalog.utdallas.edu/now/undergraduate/programs/epps/geospatial-information-science
https://www.utdallas.edu/fact-sheets/epps/ba-political-science/,epps,Bachelor of Arts in Political Science,https://catalog.utdallas.edu/now/undergraduate/programs/epps/political-science
https://www.utdallas.edu/fact-sheets/ah/ba-visual-and-performing-arts/,ah,Bachelor of Arts in Visual and Performing Arts,https://catalog.utdallas.edu/2020/undergraduate/programs/ah/
https://www.utdallas.edu/fact-sheets/ah/ba-philosophy/,ah,Bachelor of Arts in Philosophy,https://catalog.utdallas.edu/now/undergraduate/programs/ah/philosophy
https://www.utdallas.edu/fact-sheets/ah/ba-literature/,ah,Bachelor of Arts in Literature,https://catalog.utdallas.edu/now/undergraduate/programs/ah/literature
https://www.utdallas.edu/fact-sheets/ah/ba-history/,ah,Bachelor of Arts in History,https://catalog.utdallas.edu/now/undergraduate/programs/ah/history
https://www.utdallas.edu/fact-sheets/ah/ba-latin-american-studies/,ah,Bachelor of Arts in Latin American Studies,https://catalog.utdallas.edu/now/undergraduate/programs/ah/latin-american-studies
https://www.utdallas.edu/fact-sheets/bbs/bs-speech-language-hearing-sciences/,bbs,"Bachelor of Science in Speech, Language, and Hearing Sciences",https://catalog.utdallas.edu/now/undergraduate/programs/bbs/speech-language-and-hearing-sciences
https://www.utdallas.edu/fact-sheets/bbs/bs-psychology/,bbs,Bachelor of Science in Psychology,https://catalog.utdallas.edu/2018/undergraduate/programs/bbs/psychology
https://www.utdallas.edu/fact-sheets/bbs/bs-neuroscience/,bbs,Bachelor of Science in Neuroscience,https://catalog.utdallas.edu/2018/undergraduate/programs/bbs/neuroscience
https://www.utdallas.edu/fact-sheets/ecs/bs-biomedical-engineering/,ecs,Bachelor of Science in Biomedical Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/biomedical-engineering
https://www.utdallas.edu/fact-sheets/ecs/bs-computer-science/,ecs,Bachelor of Science in Computer Science,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/computer-science
https://www.utdallas.edu/fact-sheets/ecs/bs-electrical-engineering/,ecs,Bachelor of Science in Electrical Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/electrical-engineering
https://www.utdallas.edu/fact-sheets/ecs/bs-mechanical-engineering/,ecs,Bachelor of Science in Mechanical Engineering,https://catalog.utdallas.edu/now/undergraduate/programs/ecs/mechanical-engineering
