RHET 1302 Rhetoric
COMM 1311 Survey of Oral and Technology-based Communication
COMM 1315 Public Speaking
LIT 2331 Introduction to World Literature
LIT 2350 Close Reading
LIT 2320 Survey A: Literature in English
LIT 2321 Survey B: Literature in Translation
LIT 2322 Survey of African-American and African Diaspora Literatures
LIT 2331 Introduction to World Literature
LIT 3300 Western Literary Tradition
LIT 3339 Writing Literary Studies
LIT 4329 Single Author
LIT 4390 Capstone
ARHM 3342 Advanced Interdisciplinary Studies in the Arts and Humanities
LIT 3338 Literary Theory and Aesthetic Philosophy
LIT 3319 Contexts
CRWT 3330 Translation Workshop
LIT 3337 Comparisons
