RHET 1302 Rhetoric
ECS 3390 Professional and Technical Communication
MATH 2414 Integral Calculus
or MATH 2417 Calculus I
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
GOVT 2305 American National Government
GOVT 2306 State and Local Government
MATH 2414 Integral Calculus
or MATH 2417 Calculus I
MATH 2415 Calculus of Several Variables
or MATH 2419 Calculus II
PHYS 2125 Physics Laboratory I
CHEM 1111 General Chemistry Laboratory I
CHEM 1311 General Chemistry I
CS 1325 Introduction to Programming
EE 1100 Introduction to Electrical and Computer Engineering
ECS 1100 Introduction to Engineering and Computer Science
EE 1202 Introduction to Electrical and Computer Engineering II
ENGR 2300 Linear Algebra for Engineers
EE 2310 Introduction to Digital Systems
PHYS 2125 Physics Laboratory I
PHYS 2126 Physics Laboratory II
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
MATH 2420 Differential Equations with Applications
MATH 2420 Differential Equations with Applications
EE 3161 Social Issues and Ethics in Engineering
ECS 3390 Professional and Technical Communication
EE 3201 Electrical and Computer Engineering Fundamentals-I Laboratory
EE 3202 Electrical and Computer Engineering Fundamentals-II Laboratory 
ENGR 3300 Advanced Engineering Mathematics
EE 3301 Electrical Network Analysis
EE 3302 Signals and Systems
EE 3310 Electronic Devices
EE 3311 Electronic Circuits
EE 3320 Digital Circuits
ENGR 3341 Probability Theory and Statistics
EE 4301 Electromagnetic Engineering I
EE 4310 Systems and Controls
EE 4370 Embedded Systems
EE 4388 Senior Design Project I
EE 4389 Senior Design Project II
EE 4201 Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering 
EE 4202 Electrical and Computer Engineering Laboratory in Circuits 
EE 4203 Electrical and Computer Engineering Laboratory in Signals and Systems 
EE 4204 Electrical and Computer Engineering Laboratory in Devices 
EE 4205 Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems 
EE 4168 RF/Microwave Laboratory
EE 4325 Introduction to VLSI Design
EE 4340 Analog Integrated Circuit Analysis and Design
EE 4368 RF Circuit Design Principles
EE 4V95 Undergraduate Topics in Electrical Engineering
EE 4202 Electrical and Computer Engineering Laboratory in Circuits
EE 4304 Computer Architecture
EE 4V95 Undergraduate Topics in Electrical Engineering
EE 4201 Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering
EE 4330 Integrated Circuit Technology
EE 4391 Technology of Plasma
EE 4371 Introduction to MEMs
EE 4V95 Undergraduate Topics in Electrical Engineering
EE 4204 Electrical and Computer Engineering Laboratory in Devices
EE 4362 Introduction to Energy Conversion
EE 4363 Introduction to Power Electronics
EE 4V95 Undergraduate Topics in Electrical Engineering
EE 4205 Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems
EE 3350 Communications Systems
EE 4331 Applied Machine Learning
EE 4360 Digital Communications
EE 4361 Introduction to Digital Signal Processing
EE 4365 Introduction to Wireless Communication
EE 4367 Telecommunication Networks
EE 4V95 Undergraduate Topics in Electrical Engineering
EE 4203 Electrical and Computer Engineering Laboratory in Signals and Systems
