RHET 1302 Rhetoric
ECS 3390 Professional and Technical Communication
MATH 2417 Calculus I
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
GOVT 2305 American National Government
GOVT 2306 State and Local Government
MATH 2417 Calculus I
MATH 2419 Calculus II
PHYS 2125 Physics Laboratory I
CE 1100 Introduction to Electrical and Computer Engineering
CE 1202 Introduction to Electrical and Computer Engineering II
CS 1136 Computer Science Laboratory
CS 1336 Programming Fundamentals
CE 1337 Computer Science I
ECS 1100 Introduction to Engineering and Computer Science
ENGR 2300 Linear Algebra for Engineers
CE 2305 Discrete Mathematics for Computing I
CE 2310 Introduction to Digital Systems
CE 2336 Computer Science II
PHYS 2125 Physics Laboratory I
PHYS 2126 Physics Laboratory II
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
MATH 2420 Differential Equations with Applications
MATH 2420 Differential Equations with Applications
CE 3161 Social Issues and Ethics in Engineering
CE 3201 Electrical and Computer Engineering Fundamentals-I Laboratory
CE 3202 Electrical and Computer Engineering Fundamentals-II Laboratory
ECS 3390 Professional and Technical Communication
CE 3301 Electrical Network Analysis
CE 3303 Discrete-Time Signals and Systems
CE 3311 Electronic Circuits
CE 3320 Digital Circuits
ENGR 3341 Probability Theory and Statistics
CE 3345 Data Structures and Introduction to Algorithmic Analysis
CE 3354 Software Engineering
CE 4304 Computer Architecture
CE 4348 Operating Systems Concepts
CE 4370 Embedded Systems
CE 4388 Senior Design Project I
CE 4389 Senior Design Project II
CE 4201 Electrical and Computer Engineering Laboratory in Computing Systems and Computer Engineering
CE 4202 Electrical and Computer Engineering Laboratory in Circuits
CE 4203 Electrical and Computer Engineering Laboratory in Signals and Systems
CE 4204 Electrical and Computer Engineering Laboratory in Devices
CE 4205 Electrical and Computer Engineering Laboratory in Power Electronics and Energy Systems
EE 4325 Introduction to VLSI Design
EE 4330 Integrated Circuit Technology
EE 4340 Analog Integrated Circuit Analysis and Design
EE 4342 Introduction to Robotics
EE 4360 Digital Communications
EE 4361 Introduction to Digital Signal Processing
EE 4363 Introduction to Power Electronics
EE 4365 Introduction to Wireless Communication
EE 4367 Telecommunication Networks
EE 4371 Introduction to MEMS
CE 4331 Applied Machine Learning
CS 4332 Introduction to Programming Video Games
CS 4334 Numerical Analysis
CS 4337 Programming Language Paradigms
CS 4347 Database Systems
CS 4352 Human-Computer Interaction I
CS 4361 Computer Graphics
CS 4365 Artificial Intelligence
CS 4375 Introduction to Machine Learning
CS 4384 Automata Theory
CS 4389 Data and Applications Security
CS 4390 Computer Networks
CS 4392 Computer Animation
CS 4393 Computer and Network Security
CS 4398 Digital Forensics
