RHET 1302 Rhetoric
ECS 3390 Professional and Technical Communication
MATH 2413 Differential Calculus
or MATH 2417 Calculus I
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
GOVT 2305 American National Government
GOVT 2306 State and Local Government
MATH 2413 Differential Calculus
or MATH 2417 Calculus I
MATH 2419 Calculus II
PHYS 2125 Physics Laboratory I
ECS 1100 Introduction to Engineering and Computer Science
CS 1200 Introduction to Computer Science and Software Engineering
CS 1136 Computer Science Laboratory
CS 1336 Programming Fundamentals
CS 1337 Computer Science I
CS 2305 Discrete Mathematics for Computing I
CS 2336 Computer Science II
CS 2340 Computer Architecture
MATH 2418 Linear Algebra
PHYS 2125 Physics Laboratory I
PHYS 2126 Physics Laboratory II
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
CS 3162 Professional Responsibility in Computer Science and Software Engineering
CS 3305 Discrete Mathematics for Computing II
CS 3341 Probability and Statistics in Computer Science and Software Engineering
CS 3345 Data Structures and Introduction to Algorithmic Analysis
CS 3354 Software Engineering
CS 3377 Systems Programming in UNIX and Other Environments
ECS 3390 Professional and Technical Communication
CS 4141 Digital Systems Laboratory
CS 4337 Programming Language Paradigms
CS 4341 Digital Logic and Computer Design
CS 4347 Database Systems
CS 4348 Operating Systems Concepts
CS 4349 Advanced Algorithm Design and Analysis
CS 4384 Automata Theory
CS 4485 Computer Science Project
CS 4314 Intelligent Systems Analysis
CS 4315 Intelligent Systems Design
CS 4334 Numerical Analysis
CS 4336 Advanced Java
CS 4352 Human-Computer Interaction I
CS 4353 Human-Computer Interaction II
CS 4361 Computer Graphics
CS 4365 Artificial Intelligence
CS 4375 Introduction to Machine Learning
CS 4376 Object-Oriented Design
CS 4386 Compiler Design
CS 4389 Data and Applications Security
CS 4390 Computer Networks
CS 4391 Introduction to Computer Vision
CS 4392 Computer Animation
CS 4393 Computer and Network Security
CS 4394 Implementation of Modern Operating Systems
CS 4395 Human Language Technologies
CS 4396 Networking Laboratory
CS 4397 Embedded Computer Systems
CS 4398 Digital Forensics
CS 4399 Senior Honors in Computer Science
EE 4325 Introduction to VLSI Design
SE 4351 Requirements Engineering
SE 4352 Software Architecture and Design
"SE 4367 Software Testing, Verification, Validation and Quality Assurance"
SE 4381 Software Project Planning and Management
CS 1337 Computer Science I
CS 2305 Discrete Mathematics for Computing I
CS 2336 Computer Science II
CS 3305 Discrete Mathematics for Computing II
CS 3345 Data Structures and Introduction to Algorithmic Analysis
CS 3354 Software Engineering
CS 1337 Computer Science I
CS 2305 Discrete Mathematics for Computing I
CS 2336 Computer Science II
CS 3305 Discrete Mathematics for Computing II
CS 3345 Data Structures and Introduction to Algorithmic Analysis
CS 4347 Database Systems
CS 4348 Operating Systems Concepts
CS 4389 Data and Applications Security
CS 4393 Computer and Network Security
CS 4398 Digital Forensics
CS 4389 Data and Applications Security
CS 4393 Computer and Network Security
CS 4398 Digital Forensics
