COMM 1311 Survey of Oral and Technology-based Communication
RHET 1302 Rhetoric
MATH 1314 College Algebra
GOVT 2305 American National Government
GOVT 2306 State and Local Government
CRIM 1301 Introduction to Criminal Justice
ECON 2301 Principles of Macroeconomics
ECON 2302 Principles of Microeconomics
SOC 1301 Introduction to Sociology
EPPS 2301 Research Design in the Social and Policy Sciences
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences
GOVT 2305 American National Government
GOVT 2306 State and Local Government
EPPS 2302 Methods of Quantitative Analysis in the Social and Policy Sciences
PSCI 3322 Constitutional Law
PSCI 3333 Political Behavior
PSCI 3301 Political Theory
PSCI 3328 International Relations
PSCI 3350 Comparative Politics
PSCI 4329 Global Politics
PSCI 3362 The American Political Institutions
GOVT 2305 American National Government
GOVT 2306 State and Local Government
