ACN 6330 Cognitive Science
ACN 6331 Cognitive Development
ACN 6332 Perception
ACN 6333 Memory
ACN 6334 Attention
ACN 6338 Functional Neuroanatomy
ACN 6340 Cellular Neuroscience
ACN 6341 Foundations of Human-Computer Interaction
ACN 6346 Systems Neuroscience
ACN 6348 Neural Net Mathematics
ACN 6367 Speech Perception
ACN 6395 Cognitive Psychology
ACN 7343 Neuropharmacology
ACN 6345 Neurobiology of Learning and Memory
ACN 6323 Neurophysiology
ACN 5314 Computational Modeling Methods in Behavioral and Brain Sciences
ACN 6310 Fundamentals of Functional Brain Imaging
ACN 6312 Research Methods in Behavioral and Brain Sciences - Part I
ACN 6313 Research Methods in Behavioral and Brain Sciences - Part II
ACN 6337 Cognitive Ethnography
ACN 6342 Applied Human-Computer Interaction
ACN 6344 Human-Computer Interaction Lab
ACN 6349 Statistical Machine Learning
ACN 6373 Intraoperative Neurophysiological Monitoring (IONM) Part I
ACN 6374 Intraoperative Neurophysiological Monitoring (IONM) Part II
ACN 6375 IONM Special Topics
ACN 6388 MATLAB for Brain Sciences
ACN 6389 Speech Perception Laboratory
ACN 7320 Topics in Multivariate Data Analysis using R
ACN 7321 Topics in Multivariate Data Analysis Theory
"HCS 6341 Genes, Brain, and Behavior"
HCS 6315 Scientific and Grant Writing
ACN 6V71 Industry Internship
ACN 6V72 Research Internship
HCS 8V87 Research in Psychology
"HCS 8V88 Research in Speech, Language, and Hearing Sciences"
HCS 8V89 Research in Neuroscience\
ACN 6V91 Thesis in Applied Cognition and Neuroscience
