RHET 1302 Rhetoric
ECS 3390 Professional and Technical Communication
"MATH 2417 Calculus I, "
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
GOVT 2305 American National Government
GOVT 2306 State and Local Government
"MATH 2417 Calculus I, "
"MATH 2419 Calculus II, "
PHYS 2125 Physics Laboratory I
CHEM 1111 General Chemistry Laboratory I
CHEM 1311 General Chemistry I
CS 1325 Introduction to Programming
ECS 1100 Introduction to Engineering and Computer Science
"MATH 2417 Calculus I, "
"MATH 2419 Calculus II, "
MATH 2420 Differential Equations with Applications
MECH 1100 Introduction to Mechanical Engineering I
MECH 1208 Introduction to Mechanical Engineering II
MECH 2120 Mechanics of Materials Laboratory
ENGR 2300 Linear Algebra for Engineers
MECH 2310 Statics
MECH 2320 Mechanics of Materials
MECH 2330 Dynamics
PHYS 2125 Physics Laboratory I
PHYS 2126 Physics Laboratory II
PHYS 2325 Mechanics
PHYS 2326 Electromagnetism and Waves
ECS 3390 Professional and Technical Communication
MECH 3105 Computer Aided Design Laboratory
MECH 3115 Fluid Mechanics Laboratory
MECH 3120 Heat Transfer Laboratory
MECH 3150 Kinematics and Dynamics Laboratory
ENGR 3300 Advanced Engineering Mathematics
MECH 3305 Computer Aided Design
MECH 3310 Thermodynamics
MECH 3315 Fluid Mechanics
MECH 3320 Heat Transfer
MECH 3340 System Dynamics Modeling and Analysis
ENGR 3341 Probability Theory and Statistics
MECH 3350 Kinematics and Dynamics of Mechanical Systems
MECH 3351 Design of Mechanical Systems
MECH 4110 Systems and Controls Laboratory
MECH 4310 Systems and Controls
MECH 4381 Senior Design Project I
MECH 4382 Senior Design Project II
MECH 2340 Circuits and Applied Electronics
MECH 3360 Introduction to Materials Science
MECH 3370 Applied Thermodynamics
MECH 3380 Introduction to Computational Design and Analysis
MECH 3381 Introduction to Manufacturing Processes
MECH 3V95 Topics in Mechanical Engineering
MECH 4301 Intermediate Mechanics of Materials
MECH 4320 Applications of Computational Tools in Thermal Fluid Science
MECH 4330 Intermediate Fluid Mechanics
MECH 4340 Mechanical Vibrations
MECH 4342 Introduction to Robotics
MECH 4360 Introduction to Nanostructured Materials
MECH 4365 Energy Analytics
MECH 4370 Introduction to MEMS
MECH 4380 HVAC Systems
MECH 4V95 Topics in Mechanical Engineering
ENTP 3301 Innovation and Entrepreneurship
