ACCT 6301 Financial Accounting
or ACCT 6305 Accounting for Managers
FIN 6301 Financial Management
FIN 6307 Mathematical Methods for Finance
FIN 6318 Analytics of Finance
FIN 6352 Financial Modeling for Valuation
or FIN 6353 Financial Modeling for Investment Analysis
FIN 6360 Derivatives Markets
FIN 6009 Finance Internship (required elective)
ACCT 6344 Financial Statement Analysis
FIN 6308 Regulation of Business and Financial Markets
FIN 6310 Investment Theory and Practice
FIN 6314 Fixed Income Securities
FIN 6325 Macroeconomics and Financial Markets
FIN 6330 Behavioral Finance
FIN 6353 Financial Modeling for Investment Analysis (if not used in core)
FIN 6364 Portfolio Analysis and Management
FIN 6368 Financial Information and Analysis
FIN 6370 Advanced Theory of Finance and Its Applications
FIN 6380 Global Fund Management
FIN 6392 Financial Technology and Blockchain
FIN 6V98 Finance Internship
FIN 6315 Entrepreneurial Finance
FIN 6316 Private Equity Finance
FIN 6350 Advanced Corporate Finance
FIN 6352 Financial Modeling for Valuation (if not used in core)
FIN 6355 Corporate Finance and Policy
FIN 6356 Mergers and Acquisitions
FIN 6357 Corporate Restructuring and Turnarounds
FIN 6366 International Financial Management
FIN 6370 Advanced Theory of Finance and Its Applications
FIN 6V98 Finance Internship
ACCT 6330 Intermediate Financial Accounting I
ACCT 6332 Intermediate Financial Accounting II
MECO 6352 Financial Negotiation and Dispute Resolution
FIN 6321 Introduction to Real Estate
FIN 6322 Real Estate Finance and Investment
FIN 6323 Real Estate Market Analysis and Investment
FIN 6326 Real Estate Law and Contract
FIN 6V98 Finance Internship
FIN 6308 Regulation of Business and Financial Markets
FIN 6314 Fixed Income Securities
FIN 6315 Entrepreneurial Finance
FIN 6325 Macroeconomics and Financial Markets
FIN 6310 Investment Theory and Practice
FIN 6325 Macroeconomics and Financial Markets
FIN 6368 Financial Information and Analysis
FIN 6380 Global Fund Management
FIN 6392 Financial Technology and Blockchain
FIN 6V98 Finance Internship
BUAN 6320 Database Foundations for Analytics
or MIS 6320 Database Foundations
MIS 6309 Business Data Warehousing
MIS 6324 Business Analytics with SAS
or MIS 6356 Business Analytics with R
FIN 6308 Regulation of Business and Financial Markets
FIN 6310 Investment Theory and Practice
FIN 6314 Fixed Income Securities
FIN 6315 Entrepreneurial Finance
FIN 6316 Private Equity Finance
FIN 6321 Introduction to Real Estate
FIN 6322 Real Estate Finance and Investment
FIN 6323 Real Estate Market Analysis and Investment
FIN 6325 Macroeconomics and Financial Markets
FIN 6326 Real Estate Law and Contracts
FIN 6330 Behavioral Finance
FIN 6335 Energy Finance
FIN 6350 Advanced Corporate Finance
FIN 6352 Financial Modeling for Valuation (if not used in core)
FIN 6353 Financial Modeling for Investment Analysis (if not used in core)
FIN 6355 Corporate Finance and Policy
FIN 6356 Mergers and Acquisitions
FIN 6357 Corporate Restructuring and Turnarounds
FIN 6362 Quantitative Financial Management
FIN 6364 Portfolio Analysis and Management
FIN 6366 International Financial Management
FIN 6368 Financial Information and Analysis
FIN 6370 Advanced Theory of Finance and Its Applications
FIN 6380 Global Fund Management
FIN 6381 Introductory Mathematical Finance
FIN 6382 Numerical and Statistical Methods in Finance
FIN 6392 Financial Technology and Blockchain
FIN 6V98 Finance Internship
FIN 6V99 Special Topics in Finance
