EECT 6325 VLSI Design
EECT 6326 Analog Integrated Circuit Design
EERF 6311 RF and Microwave Circuits
EEDG 6301 Advanced Digital Logic
EEDG 6302 Microprocessor and Embedded Systems
EEDG 6304 Computer Architecture
EEGR 6316 Fields and Waves
EEMF 6319 Quantum Physical Electronics
EEMF 6322 Semiconductor Processing Technology
EEPE 6354 Power Electronics
EEPE 6398 General Theory of Electric Machines
"EEPE 6357 Control, Modeling and Simulation in Power Electronics"
"EESC 6349 Probability, Random Variables, and Statistics"
EESC 6352 Digital Communication Systems
EECS 6331 Linear Systems
EESC 6360 Digital Signal Processing I
