Full Course Name,Course Code
RMIS 4331 Business Liability Risk Management and Insurance,RMIS 4331
RMIS 4332 Commercial Property Risk Management and Insurance,RMIS 4332
RMIS 4333 Enterprise Risk Management,RMIS 4333
RMIS 4334 Insurance Law and Contracts,RMIS 4334
RMIS 4336 Systems and Theories,RMIS 4336
RMIS 4338 Foundations of Risk Analytics and Applications,RMIS 4338
MKT 3330 Introduction to Professional Selling,MKT 3330
FIN 3305 or REAL 3305 Real Estate Principles,FIN 3305
MKT 3300 Principles of Marketing,MKT 3300
MKT 3340 Marketing Research,MKT 3340
MKT 3330 Introduction to Professional Selling,MKT 3330
MKT 4330 Digital and Internet Marketing,MKT 4330
MKT 3331 Principles of Category Management,MKT 3331
MKT 4331 Digital Prospecting,MKT 4331
MKT 4332 Advanced Professional Sales,MKT 4332
MKT 4335 Category Buying,MKT 4335
MKT 4336 E-Retailing,MKT 4336
MKT 4337 Marketing Analytics,MKT 4337
MKT 4338 Marketing Content Creation,MKT 4338
MKT 4339 Marketing Creative Skills and Testing,MKT 4339
MKT 4340 Consumer Behavior,MKT 4340
MKT 4341 Predictive Analytics,MKT 4341
MKT 4350 Advertising,MKT 4350
MKT 4360 Social Impact Marketing,MKT 4360
MKT 4370 Marketing Projects,MKT 4370
MKT 4395 Capstone Senior Project - Marketing,MKT 4395
MKT 4V83 Individual Study in Marketing,MKT 4V83
MKT 4V90 Marketing Internship,MKT 4V90
OPRE 3320 Integrated Supply Chain Management,OPRE 3320
OPRE 3330 Project Management,OPRE 3330
OPRE 4310 Lean and Six Sigma Processes,OPRE 4310
OPRE 4330 Global Logistics and Inventory Management,OPRE 4330
OPRE 4340 Purchasing and Sourcing Management,OPRE 4340
OPRE 4320 Integrated SCM Information Systems,OPRE 4320
OPRE 4350 Spreadsheet Modeling and Analytics,OPRE 4350
OPRE 4395 Capstone Senior Project - Supply Chain Management,OPRE 4395
