Full Course Name,Course Code
FIN 3305 or REAL 3305 Real Estate Principles,FIN 3305
MKT 3330 Introduction to Professional Selling,MKT 3330
REAL 3305 or FIN 3305 Real Estate Principles,REAL 3305
REAL 3365 or FIN 3365 Real Estate Finance and Principles,REAL 3365
REAL 4321 or FIN 4321 Real Estate Law and Contracts,REAL 4321
REAL 4328 or FIN 4328 Real Estate Valuation,REAL 4328
FIN 4V80 Practicum in Finance,FIN 4V80
FIN 4080 Finance Internship,FIN 4080
REAL 4V80 Internship in Real Estate,REAL 4V80
REAL 4090 Real Estate Internship,REAL 4090
BA 4V90 Management Internship,BA 4V90
BA 4090 Management Internship,BA 4090
MKT 3330 Introduction to Professional Selling,MKT 3330
MKT 3331 Principles of Category Management,MKT 3331
or MKT 4332 Advanced Professional Sales,MKT 4332
MKT 4331 or ENTP 4331 Digital Prospecting,MKT 4331
OBHR 4352 Negotiation and Dispute Resolution,OBHR 4352
MKT 4V90 Marketing Internship,MKT 4V90
MKT 4090 Marketing Internship,MKT 4090
BA 4090 Management Internship              ,BA 4090
FIN 3305 or REAL 3305 Real Estate Principles,FIN 3305
FIN 3330 Personal Financial Planning,FIN 3330
HMGT 3301 Introduction to Healthcare Management,HMGT 3301
MKT 3320 Product and Brand Management,MKT 3320
MKT 3331 Principles of Category Management,MKT 3331
MKT 4332 Advanced Professional Sales,MKT 4332
MKT 4333 Retailing and Distribution,MKT 4333
OBHR 4310 Business Ethics,OBHR 4310
ENTP 3301 Innovation and Entrepreneurship,ENTP 3301
ENTP 4311 Entrepreneurial Strategy and Business Models,ENTP 4311
ENTP 4320 Small Business Management,ENTP 4320
ENTP 4350 Corporate Entrepreneurship,ENTP 4350
ENTP 4340 Social Sector Entrepreneurship and Community Engagement,ENTP 4340
ENTP 3320 Start-up Launch I,ENTP 3320
ENTP 3321 Start-up Launch II,ENTP 3321
ATCM 4398 Capstone Project,ATCM 4398
BMEN 4388 Senior Design Project I,BMEN 4388
or BMEN 4389 Senior Design Project II,BMEN 4389
CE 4388 or EE 4388 Senior Design Project I,CE 4388
or CE 4389 or EE 4389 Senior Design Project II,CE 4389
CS 4485 Computer Science Project,CS 4485
MECH 4381 Senior Design Project I,MECH 4381
or MECH 4382 Senior Design Project II,MECH 4382
SE 4485 Software Engineering Project,SE 4485
