Full Course Name,Course Code
FIN 6301 Financial Management,FIN 6301
HMGT 6334 Healthcare Analytics,HMGT 6334
IMS 6310 International Marketing,IMS 6310
IMS 6314 Global E-Business Marketing,IMS 6314
IMS 6360 International Strategic Management,IMS 6360
MECO 6303 Business Economics,MECO 6303
MECO 6312 Applied Econometrics and Time Series Analysis,MECO 6312
MIS 6320 Database Foundations,MIS 6320
MIS 6356 Business Analytics with R,MIS 6356
MIS 6357 Advanced Business Analytics with R,MIS 6357
MIS 6360 Agile Project Management,MIS 6360
MIS 6380 Data Visualization,MIS 6380
MIS 6396 User Experience Design,MIS 6396
OB 6301 Organizational Behavior,OB 6301
OB 6332 Negotiation and Dispute Resolution,OB 6332
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6341 Retail Operations,OPRE 6341
OPRE 6359 Advanced Statistics for Data Science,OPRE 6359
OPRE 6362 Project Management in Engineering and Operations,OPRE 6362
OPRE 6398 Prescriptive Analytics,OPRE 6398
