Full Course Name,Course Code
OB 7313 Organizational Decision Making,OB 7313
IMS 6314 Global E-Business Marketing,IMS 6314
MKT 6301 Marketing Management,MKT 6301
MKT 6309 Marketing Data Analysis and Research,MKT 6309
MKT 6310 Consumer Behavior Science and Practice,MKT 6310
MKT 6321 Interactive and Digital Marketing,MKT 6321
MKT 6329 New Product Development,MKT 6329
MKT 6332 Advertising and Promotional Strategy,MKT 6332
MKT 6334 Digital Sales Strategy,MKT 6334
MKT 6336 Pricing Analytics,MKT 6336
MKT 6337 Predictive Analytics Using SAS,MKT 6337
MKT 6341 Marketing Automation and Campaign Management,MKT 6341
MKT 6342 Marketing Customer Insights Development,MKT 6342
MKT 6343 Social Media Marketing and Insights,MKT 6343
MKT 6349 MarTech Ecosystem,MKT 6349
MKT 6350 Marketing Strategy and Game Theory Framework,MKT 6350
MKT 6352 Marketing Web Analytics and Insights,MKT 6352
MKT 6353 Customer Analytics and Insights,MKT 6353
MKT 6380 Market Entry Strategies,MKT 6380
MKT 6384 Advanced Marketing Web Analytics and Insights,MKT 6384
MKT 6345 Quantitative Marketing Decision-Making,MKT 6345
OPRE 6301 (SYSM 6303) Statistics and Data Analysis,OPRE 6301
OPRE 6301 (SYSM 6303) Statistics and Data Analysis,OPRE 6301
OPRE 6302 Operations Management,OPRE 6302
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6340 Flexible Manufacturing Strategies,OPRE 6340
OPRE 6362 Project Management in Engineering and Operations,OPRE 6362
OPRE 6364 Lean Six Sigma,OPRE 6364
OPRE 6366 Global Supply Chain Management,OPRE 6366
OPRE 6369 Supply Chain Software with SAP,OPRE 6369
OPRE 6370 Global Logistics and Transportation,OPRE 6370
"OPRE 6371 Purchasing, Sourcing and Contract Management",OPRE 6371
OPRE 6377 Demand and Revenue Analytics,OPRE 6377
OPRE 6379 Product Lifecycle Management,OPRE 6379
OPRE 6390 Enterprise Resource Planning (ERP),OPRE 6390
IMS 6363 Regional Area Studies (Sustainability focus),IMS 6363
IMS 6358 Strategy for Implementing Sustainability Initiatives in Emerging Markets,IMS 6358
ACCT 6301 Financial Accounting,ACCT 6301
ACCT 6393 Sustainability and the Role of Modern Corporations,ACCT 6393
BPS 6332 Strategic Leadership,BPS 6332
BPS 6379 Business Strategies for Sustainability,BPS 6379
MECO 6303 Business Economics,MECO 6303
MECO 6318 Energy Economics and The Cost of Regulation,MECO 6318
MECO 6340 Thinking Strategically,MECO 6340
MECO 6345 Advanced Managerial Economics,MECO 6345
MECO 6355 (OPRE 6355) Deal Making Strategies,MECO 6355
MECO 6368 Advanced Comparative Institutions of Production and Distribution,MECO 6368
ENGY 6332 Energy and Sustainability,ENGY 6332
ENTP 6375 Technology and New Product Development,ENTP 6375
OB 6332 Negotiation and Dispute Resolution,OB 6332
OPRE 6301 (SYSM 6303) Statistics and Data Analysis,OPRE 6301
OPRE 6335 Risk and Decision Analysis,OPRE 6335
