Full Course Name,Course Code
NSC 4352 Cellular Neuroscience,NSC 4352
NSC 4353 Neuroscience Laboratory Methods,NSC 4353
NSC 4354 Integrative Neuroscience,NSC 4354
NSC 4356 Neurophysiology,NSC 4356
NSC 4363 Neuropharmacology,NSC 4363
NSC 4366 Neuroanatomy,NSC 4366
NSC 4357 Neurobiology of Learning and Memory,NSC 4357
NSC 4362 Molecular Neuroscience,NSC 4362
NSC 4367 Developmental Neurobiology,NSC 4367
NSC 4371 Neural Plasticity,NSC 4371
NSC 4373 Sensory Neuroscience,NSC 4373
NSC 4385 Neuropsychology,NSC 4385
